Pharmacy-Name,Phone,Credential,Location,Address,City,State,Zip,CredentialId
WOODBURY DRUG,(203) 263-2282,PCY.0001712,"682 MAIN ST S
CT 06798-3736
(41.527087, -73.203523)",682 MAIN ST S UNIT E 1,WOODBURY,CT,06798-3736,204631
WHALLEY DRUG,(203) 843-5022,PCY.0002327,"399 WHALLEY AVE
CT 06511-3008
(41.318105, -72.946527)",399 WHALLEY AVE,NEW HAVEN,CT,06511-3008,1323070
WESTOWN PHARMACY,(860) 649-9946,PCY.0000819,"455 HARTFORD RD
CT 06040
(41.764502, -72.541476)",455 HARTFORD RD,MANCHESTER,CT,06040,37567
WEST HAVEN PHARMACY,(203) 9347100,PCY.0002294,"764 CAMPBELL AVE
CT 06516-3786
(41.279459, -72.955114)",764 CAMPBELL AVE,WEST HAVEN,CT,06516-3786,1219165
WATERBURY PHARMACY,(203) 757-2000,PCY.0002139,"197 E MAIN ST
CT 06702-2323
(41.554824, -73.037263)",197 E MAIN ST,WATERBURY,CT,06702-2323,530959
WAL-MART STORE #5095,(860) 953-0725,PCY.0001938,"495 FLATBUSH AVE
CT 06106-3601
(41.742599, -72.711909)",495 FLATBUSH AVE,HARTFORD,CT,06106-3601,390332
WAL-MART STORE #3803,(203) 931-2221,PCY.0002080,"515 SAW MILL RD
CT 06516-4000
(41.26951, -72.976004)",515 SAW MILL RD,WEST HAVEN,CT,06516-4000,460144
WAL-MART STORE #3547,(203) 854-8519,PCY.0001833,"680 CONNECTICUT AVE
CT 06854-1616
(41.094874, -73.449392)",680 CONNECTICUT AVE,NORWALK,CT,06854-1616,334629
WAL-MART STORE #3546,(860) 350-4823,PCY.0001819,"164 DANBURY RD
CT 06776-4332
(41.55015, -73.418189)",164 DANBURY RD,NEW MILFORD,CT,06776-4332,319300
WAL-MART STORE #3545,(203) 230-2841,PCY.0001809,"2300 DIXWELL AVE
CT 06514-2108
(41.371914, -72.917506)",2300 DIXWELL AVE,HAMDEN,CT,06514-2108,309818
WAL-MART STORE #3543,(203) 791-1929,PCY.0001820,"67 NEWTOWN RD
CT 06810-6272
(41.406755, -73.417427)",67 NEWTOWN RD,DANBURY,CT,06810-6272,319305
WAL-MART STORE #2897,(860) 621-9830,PCY.0001746,"235 QUEEN ST
CT 06489-1915
(41.623058, -72.873124)",235 QUEEN ST,SOUTHINGTON,CT,06489-1915,232557
WAL-MART STORE #2585,(203) 502-7631,PCY.0001802,"150 BARNUM AVE
CUTOFF, CT 06614",150 BARNUM AVE CUTOFF,STRATFORD,CT,06614,304168
WAL-MART PHARMACY #10-5777,(860) 412-5144,PCY.0002274,"450 PROVIDENCE RD
CT 06234-1823
(41.797104, -71.912123)",450 PROVIDENCE RD,BROOKLYN,CT,06234-1823,1170931
WAL-MART PHARMACY #10-5439,(203) 467-7637,PCY.0001873,"315 FOXON BLVD
CT 06513-2355
(41.321657, -72.87616)",315 FOXON BLVD,NEW HAVEN,CT,06513-2355,368470
WAL-MART PHARMACY #10-5294,(203) 301-0559,PCY.0002091,"1365 BOSTON POST RD
CT 06460-2755
(41.240267, -73.033791)",1365 BOSTON POST RD,MILFORD,CT,06460-2755,472003
WAL-MART PHARMACY #10-3548,(203) 759-1637,PCY.0001813,"910 WOLCOTT ST
CT 06705-1317
(41.565161, -73.008762)",910 WOLCOTT ST,WATERBURY,CT,06705-1317,317348
WAL-MART PHARMACY #10-2965,(860) 667-0152,PCY.0001786,"3164 BERLIN TPKE
CT 06111-4627
(41.663091, -72.721341)",3164 BERLIN TPKE,NEWINGTON,CT,06111-4627,284623
WAL-MART PHARMACY #10-2954,(203) 979-8394,PCY.0001756,"650 MAIN AVE
CT 06851-1126
(41.159231, -73.419538)",650 MAIN AVE,NORWALK,CT,06851-1126,242635
WAL-MART PHARMACY  #10-2900,(860) 563-4322,PCY.0001749,"80 TOWN LINE RD
CT 06067-1249
(41.650093, -72.878086)",80 TOWN LINE RD,ROCKY HILL,CT,06067-1249,245434
WAL-MART PHARMACY #10-2899,860-409-0406,PCY.0001764,"255 W MAIN ST
CT 06001-4352
(41.669419, -72.885326)",255 W MAIN ST,AVON,CT,06001-4352,244347
WAL-MART PHARMACY #10-2898,8603880560,PCY.0001784,"665 BOSTON POST ROAD
CT 06475
(41.295194, -72.379608)",665 BOSTON POST ROAD,OLD SAYBROOK,CT,06475,281802
WAL-MART PHARMACY #10-2854,(860) 376-0132,PCY.0001783,"180 RIVER RD
CT 06351-3249
(41.584562, -71.994576)",180 RIVER RD,LISBON,CT,06351-3249,281574
WAL-MART PHARMACY #10-2719,(860) 585-1103,PCY.0001765,"1400 FARMINGTON AVE
CT 06010-4701
(41.698858, -72.896917)",1400 FARMINGTON AVE,BRISTOL,CT,06010-4701,244351
WAL-MART PHARMACY #10-2371,(203) 269-6633,PCY.0001569,"844 N COLONY RD
CT 06492-2410
(41.477584, -72.812166)",844 N COLONY RD,WALLINGFORD,CT,06492-2410,139983
WAL-MART PHARMACY #10-2331,(860) 447-3747,PCY.0001581,"155 WATERFORD PARKWAY NORTH
CT 06385
(41.368601, -72.156174)",155 WATERFORD PARKWAY NORTH,WATERFORD,CT,06385,168757
WAL-MART PHARMACY #10-2299,(860) 635-1507,PCY.0001635,"161 BERLIN RD
CT 06416-1021
(41.607262, -72.712776)",161 BERLIN RD,CROMWELL,CT,06416-1021,182094
WAL-MART PHARMACY #10-2284,203-729-2288,PCY.0001640,"1100 NEW HAVEN RD
CT 06770-5016
(41.469293, -73.028961)",1100 NEW HAVEN RD,NAUGATUCK,CT,06770-5016,184945
WAL-MART PHARMACY #10-2232,2034883914,PCY.0001633,"120 COMMERCIAL PARKWAY
CT 06405
(41.280481, -72.831521)",120 COMMERCIAL PARKWAY,BRANFORD,CT,06405,180340
WAL-MART PHARMACY #10-2170,(860) 889-7530,PCY.0001519,"220 SALEM TPKE
CT 06360-6455
(41.507432, -72.122696)",220 SALEM TPKE,NORWICH,CT,06360-6455,65233
WAL-MART PHARMACY #10-2163,(203) 929-1144,PCY.0001582,"465 BRIDGEPORT AVE
CT 06484-4751
(41.290272, -73.111998)",465 BRIDGEPORT AVE,SHELTON,CT,06484-4751,168761
WAL-MART PHARMACY #10-2144,(860) 496-9193,PCY.0001588,"970 TORRINGFORD ST
CT 06790-3542
(41.819197, -73.081438)",970 TORRINGFORD ST,TORRINGTON,CT,06790-3542,174489
WAL-MART PHARMACY #10-2022,(860) 456-2126,PCY.0001498,"474 BOSTON POST ROAD
CT 06256
(41.745257, -72.169048)",474 BOSTON POST ROAD,NORTH WINDHAM,CT,06256,39110
WAL-MART PHARMACY #10-1980,(860) 928-4199,PCY.0001553,"625 SCHOOL ST
CT 06260-2424
(41.924541, -71.889099)",625 SCHOOL ST,PUTNAM,CT,06260-2424,74162
WAL-MART PHARMACY #10-1891,8606445105,PCY.0001455,"420 BUCKLAND HILLS RD
CT 06040
(41.807898, -72.53825)",420 BUCKLAND HILLS RD,MANCHESTER,CT,06040,38904
WAL-MART #2282,(860) 292-1235,PCY.0001632,"44 PROSPECT HILL RD
CT 06088-9501
(41.918706, -72.609751)",44 PROSPECT HILL RD,EAST WINDSOR,CT,06088-9501,180338
WAL-MART  #10-2200,(860) 449-6902,PCY.0001518,"150 GOLD STAR HWY
CT 06340-3442
(41.368752, -72.063105)",150 GOLD STAR HWY,GROTON,CT,06340-3442,65235
WALGREENS #19893,(860) 296-3478,PCY.0001854,"315 FRANKLIN AVE
CT 06114-1851
(41.741668, -72.676075)",315 FRANKLIN AVE,HARTFORD,CT,06114-1851,358510
WALGREENS #19888,(860) 848-7979,PCY.0001257,"601 ROUTE
STE F, CT 06382-2104",601 ROUTE 32 STE F,UNCASVILLE,CT,06382-2104,38434
